EMPRESA;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AMAZONAS ENERGIA;;;;;54,72;55,05;65,32;51,84;34,27;29,58;36,21;49,03;56,89;48,94;56,53;49,31;56,95;55,79;51,23;51,12;39,22;37,51;29,06;29,95;26,07;20,49
CEB;16,57;23,65;29,96;29,17;23,1;21,09;16,56;14,36;12,71;15,44;11,65;13,94;10,54;11,54;15,97;16,95;15,21;14,79;13,16;17,98;15,72;11,86;11,67;8,04;7,1;6,04
CEEE;27,69;26,95;30,87;30,47;29,67;26,17;29,65;19,69;22,28;20,41;18,99;14,32;15,6;16,98;18,63;16,52;15,18;15,03;13,21;12,96;15,75;17,66;11,7;11,34;10,58;8,85
CELESC;16,99;19,85;17,88;22,26;19,25;19,1;17,09;17,9;17,08;16,71;15,66;13,48;12,85;12,15;12,45;10,54;9,79;10,22;11,82;11,81;10,63;10,46;10,16;8,69;8,35;7,33
CELPA;27,1;32,3;47,3;52,38;59,07;64,66;35,17;29,87;31,72;38,37;31,7;30,73;32,54;35,11;45,66;50,22;48,4;53,02;53,04;50,84;37,93;29,95;22,39;20,77;17,82;15,55
CELPE;16,7;13,85;13,93;15,2;16,33;13,7;13,69;15,34;14,51;13,61;8,65;9,37;7,97;9,37;8,3;7,85;6,99;7,46;7,45;8,06;8,87;8,84;8,12;7,13;7,56;5,97
CEMAR;30,43;26,61;27,27;23,57;24,14;18,74;31,14;29,03;40,62;40,35;37,28;39,31;32,9;24,55;19,78;16,75;15,1;13,79;11,6;10,91;10,88;11,01;8,95;7,51;7,14;6,93
CEMIG;9,89;9,14;9,01;9,96;8,9;7,88;6,99;6,55;6,85;7,34;6,42;6,58;6,78;6,43;6,4;6,53;6,76;6,55;7;7,05;6,26;5,58;5,88;5,63;5,43;4,98
CERON;;;;159,96;163,78;162,6;108,79;94,15;72,05;75,86;64,26;50,19;48,85;42,7;52,3;45,66;43,77;29,76;28,9;26,03;32,44;24,68;30,3;21,58;19,21;16,68
COELBA;12,86;12,34;14,31;13,42;15,74;18,04;14,27;10,79;12,3;12,43;10,9;9,25;8,77;7,76;7,83;7,01;7,47;11,16;10,28;8,87;8,85;7,81;8,82;8,79;8,23;6,43
COPEL;24,74;23,93;20;18,41;17,07;14,47;13,38;13,44;12,46;15,7;16,55;14,19;13,51;13,66;12,41;10,69;11,03;9,46;8,26;7,84;8,07;8,92;8,33;7,23;6,83;6,22
COSERN;30,71;30,75;32,27;41,18;25,7;22,05;19,42;11,14;11,01;10,53;8,49;9,4;9,66;8,33;9,25;8,22;7,9;6,98;9,07;7,91;8,66;9,14;7,51;7,97;6,43;5,27
CPFL PAULISTA;6,5;6,87;6,35;6,55;6,53;7,15;7,84;5,73;5,21;6;5,09;5;5,31;5,49;5,88;5,87;5,77;5,05;5,36;5,37;4,73;4,89;4,89;5;4,94;4,03
CPFL PIRATININGA;;;;;;;;;6,77;5,06;5,65;5,94;5,67;5,79;5,36;6,41;5,22;5,22;4,86;4,23;4,58;4,19;4,31;3,97;4,45;3,87
EDP ES;22,38;26,49;25,81;17,32;16,86;15,34;13,82;12,63;11,02;10,94;8,77;9,67;8,65;6,34;7,65;6,93;6,91;6,35;6,38;6,37;6,05;6,44;4,94;5,4;5,19;4,76
EDP SP;;;;;;13,83;11,78;9,39;11,18;8,47;6,47;5,48;6,49;5,51;5,85;6,3;6,44;7,09;6,33;6,03;5,51;5,34;4,81;5,41;4,96;4,83
ELEKTRO;9,4;9,6;8,48;7,61;7,28;8,94;9,55;8,15;7,86;8,9;7,69;7,21;7,11;6,74;6,41;6,02;6,6;5,74;5,49;5,33;4,99;4,9;4,69;4,59;4,54;4,38
ENEL CE;26,93;26,85;27,07;33,53;34,09;26,88;25,52;31,75;22,15;17,21;15,53;11,95;10,44;9,11;7,87;6,78;5,91;5,61;6,04;4,62;5,12;4,66;6,82;5,04;5,37;5,03
ENEL GO;42,44;35,96;35,54;59,46;12,82;32,12;26,56;17,19;30,21;27,44;24,14;19,26;22,69;20,15;20,27;21,05;20,72;16,03;18,51;24,21;26,24;27,24;25,07;18,9;19,2;15,03
ENEL RJ;23,96;30,31;31,17;35,87;40,89;29,79;25,31;21,47;20,47;19,95;17,03;14,4;15,23;11,53;10,5;10,06;11,92;12,75;9,83;9,26;9,8;9,64;13,25;12,51;10,16;8,11
ENEL SP;10,88;10,78;10,74;10,78;11,93;10,72;11,11;9,15;7,18;9,3;6,61;6,14;6,48;5,52;5,65;5,2;7,21;5,43;5,75;5,31;5,17;5,15;6,59;6,88;6,22;4,4
ENERGISA MS;13,74;12,94;13,32;14,02;18,14;16,3;14,6;13,69;10,41;11,41;9,53;8,03;9,16;10,46;9,27;7,8;9,09;7,16;8,34;8,08;7,54;7,26;7,16;5,94;5,72;4,73
ENERGISA MT;86,31;110,57;147,96;132,77;83,23;75,4;64,96;39,8;30,24;26,26;26,13;24,68;22,39;26,38;24,8;23,79;22,86;21,9;20,79;24,22;23,48;20,61;24,13;14,26;12,49;9,14
ENERGISA PB;39,69;33,65;42,87;44,97;34,76;59,23;33,85;26,12;14,27;10,91;9,89;14,28;19,88;19,4;20,43;18,17;21,57;15,97;15,79;11,1;10,7;9,85;7,99;6,81;6,3;5,93
ENERGISA SE;17,02;15,73;14,71;13,25;18,33;15,32;13,45;13,5;10,48;11,26;10,26;9,61;8,91;9;11,23;12,68;11,24;12,11;14,58;11,64;9,31;9,37;7,75;7,2;6,99;6,55
ENERGISA SS;;;;;;;;;;;;;;;;;;;;;;;;7,46;4,97;4,6
ENERGISA TO;;;;;75,62;96,27;31,85;40,31;40,69;34,73;31,27;27,84;33,73;35,88;33,76;33,87;39,32;33,03;25,57;23,16;17,72;14,56;16,09;14,46;12,72;10,31
EQTL ALAGOAS;28,7;29,41;27,17;30,45;26,06;23,19;22,66;25,5;21,56;21,35;21,68;18,74;18,52;16,92;17,24;15,32;15,68;14,31;16,71;20,03;16,04;22,82;20,7;16,82;15,7;14,04
EQTL PIAUÍ;32,1;33,35;49,3;52,65;56,79;50,24;47,17;46,54;31,5;37,78;35,45;41,66;44,99;40,44;36,91;36,35;32,8;32,15;29,96;26,08;23,35;20,57;19,91;16,41;14,69;14,07
LIGHT;18,15;16,09;14,96;16,43;14,69;14,37;9,82;6,66;6,1;6,93;6,22;6,34;7,67;6,3;6,39;6,74;7,13;5,76;7,76;8,39;8,4;6,6;6,44;6,47;5,26;4,44
RGE;;;;;29,62;21,09;18,27;8,95;16,97;20,6;15,46;15,04;16,46;12,36;10,89;9,68;8,8;9,66;9,4;8,75;9,04;9,14;8,33;7,56;7,74;6,3
RGE SUL;;;;;27,22;19,98;17,1;18,59;18,85;16,38;13,27;10,48;12,5;11,4;11,48;12,37;11,9;10,09;9,27;8,41;7,38;8,88;8,42;9,41;7,62;5,89
;;;;;;;;;;;;;;;;;;;;;;;;;;
CEA;;;;;;;;;;;;;;;;;60,86;65,5;55,61;60,17;58,04;49,47;54;38,26;28,16;19,58
CHESP;106,56;30,74;133,16;103,79;67,65;48,38;100,33;81,65;61,31;50,59;35,58;40,57;36,11;31,48;41,09;39,17;30,36;25,45;39,63;31,46;36,52;27,05;29,55;18,88;9,94;10,93
CPFL JAGUARI;;;;;;;;;;;;;;;;;8,03;7,81;5,09;4,62;5,43;4,32;4,61;6,13;5,64;
CPFL LESTE;19,72;14,26;11,21;11,73;10,92;6,73;8,91;8,33;7,55;12,77;7,94;6,68;8,48;7,8;7,95;8,86;10,73;7,69;6,16;6,55;6,33;6,3;5,67;5,73;6,18;
CPFL MOCOCA;;;;;;;;;;;;;;;;;9,34;4,52;5,23;5,66;4,93;7,31;5,92;6,63;6,06;
CPFL SANTA CRUZ;;;;;;;;;;;;;;;;;9,3;6,52;8,13;5,82;6,82;5,29;6,34;4,09;3,68;5,09
CPFL SUL PAULISTA;;;;;;;;;;;;;;;;;6,86;7,75;5,71;9,01;6,72;7,02;9,47;11,76;6,77;
DMED;12,37;11,71;11,19;11,66;23,95;17,38;11,59;10,7;7,74;7,3;7,61;7,26;6,93;7,06;3,76;6,43;2,85;3,47;4,33;3,25;3,69;2,63;1,05;2,53;2,03;4,41
ELETROACRE;;;;122,14;104,45;117,29;83,27;94,75;56,92;45,8;34,59;22,99;23,1;18,44;22,18;19,61;40,74;43,51;45,25;55,28;47,47;40,84;40,71;43,53;35,55;31,12
ENERGISA BO;;8;18,83;14,25;19,32;18,82;16,73;15,15;13,82;9,31;9,4;11,76;15,07;10,35;12,91;11,77;11,59;9,9;11,84;6,72;6,37;5,78;3,84;3,22;2,46;3,19
ENERGISA BR;24,45;18,16;15,54;;6,18;17,67;17,73;14,78;13,22;15,85;9,59;9,66;10,48;10,21;11,7;11,54;8,81;10,67;8,92;11,4;10,3;7,98;9,46;7,72;;
ENERGISA CI;;;;14,79;12,25;12,22;14;11;8,66;11,17;7,78;5,83;6,78;7,92;7,9;5,87;6,96;9,01;7,16;7,47;8,87;7,7;9,11;7,46;;
ENERGISA ELO;8,14;10,99;9,02;8,74;6,46;9,08;5,48;5,37;11,06;7,19;6,19;4;6,15;2,86;3,76;4;5,27;5,44;6,06;5,07;5,31;5,68;4,62;3,6;;
ENERGISA MG;21,25;11,14;21,97;20,98;18,46;14,09;11,65;11,86;14,77;11,57;8,84;8,57;8,49;9,3;10,71;13,1;13,62;13,07;8,66;8,87;7,47;6,48;7,3;7,15;5,05;5,34
ENERGISA NA;18,02;15,9;10,05;;12,86;9,11;11,55;9,01;9,29;8,23;6,96;8,58;5,16;8,91;10,56;13,98;9,59;11,52;9,23;9,29;11,41;9,28;9,43;7,53;;
ENERGISA NF;24,48;19,62;;45;36,66;35,94;14,63;24,03;24,94;18,94;11,28;10,29;14,96;12,34;11,91;22,99;15,84;11,78;10,33;7,6;7,17;5,08;6,95;7,41;3,82;3,9
ENERGISA VP;;;;;17,46;13,47;14,34;10,64;10,8;11,01;9,88;6,24;8,39;9,06;7,9;6,91;7,74;5,97;5,25;6,46;5,52;5,57;5,16;4,6;;
IGUAÇU;;;;16,16;19,88;16,14;10,93;12,1;14,46;29;25,73;16,64;8,46;10,51;10,04;11,46;12,57;13,57;14,12;34,36;23,68;20,59;20,87;10,45;9,38;6,14
PANAMBI;;;;;27;33,63;29,46;27,84;24,43;24,94;13,18;13,31;12,28;13,34;21,09;19;12,08;13,42;15,11;19,28;11;10,14;8,68;8,74;9,35;5,09
RORAIMA ENERGIA;;;;;68,95;73,56;66,44;47,42;38,39;28,61;20,8;16,85;42,64;30,15;39,38;35,6;21,1;25,56;21,27;23,94;21,77;19,32;36,02;56,65;55,48;105,25
SANTA MARIA;20,66;19,99;18;;14,56;19,31;13,3;11,74;8,71;7,33;5,34;5,6;5,11;4,28;4,93;8,25;9,99;8,59;7,7;6,79;5,17;7,24;5,57;4,8;5,42;4,7
SULGIPE;36,68;36,09;31,46;30,78;32,31;36,73;32,04;33,53;17,94;21,03;16,53;15,08;17,04;16,76;17,75;17,63;18,96;12,81;14,26;13,31;8,98;11,23;9,07;8,6;7,53;5,85
;;;;;;;;;;;;;;;;;;;;;;;;;;
BRASIL;20,13;20,4;20,38;21,91;21,68;19,88;17,59;14,82;14,2;14,77;12,89;12,12;12,53;11,53;11,81;11,37;11,72;11,31;11,21;11,17;10,6;10,08;9,86;8,87;8,2;7,03
