uf;2008;2012;2016
RO;17285542;30112720;39460359
AC;6410255;10137925;13754240
AM;48115265;72242701;89039782
RR;4841862;7711467;11013237
PA;60956978;107080881;138107514
AP;6950413;11130868;14342135
TO;12116393;20684430;31584816
MA;37932402;60490109;85310038
PI;16203340;28637685;41416937
CE;60415574;96973753;138422521
RN;28898860;46412208;59677389
PB;26889573;42488349;59104781
PE;70413939;127989043;167345031
AL;22262295;34650397;49468741
SE;21418378;32853181;38877438
BA;121667455;182572530;258738970
MG;278607619;442282830;544810468
ES;72091158;116850581;109264423
RJ;378285800;574884973;640401206
SP;1042510168;1559033444;2038757382
PR;185683859;285620202;401814164
SC;121477258;191794652;256754669
RS;190229822;287587019;408789528
MS;36219263;62013201;91892285
MT;49202505;79665691;123880296
GO;82417564;138757825;181759604
DF;110299557;164101336;235540045
